"x","y","z"
1593.13333333333,2029.26666666667,1967.6
1610.13333333333,1978,2067.46666666667
1605.36666666667,2060.56666666667,2083.16666666667
1671.16666666667,2236.13333333333,1946.96666666667
1950.1,2282.06666666667,1827.5
2159,2292.4,1940.86666666667
2033.83333333333,2346.53333333333,2056.96666666667
1963.2,2353.06666666667,2187.46666666667
1960.8,2342.9,2196.6
1973.76666666667,2368.36666666667,2127.33333333333
1964.53333333333,2386.6,2031.93333333333
1943.5,2389.16666666667,2053.66666666667
1942.46666666667,2382.6,2063.4
1959.46666666667,2370.83333333333,2146.83333333333
1957.03333333333,2376.5,2129.43333333333
1961.03333333333,2374.23333333333,2121.73333333333
1964.03333333333,2373.6,2129.2
1963.46666666667,2373.1,2129.06666666667
1963.9,2375,2127
1966,2377.13333333333,2115
1959.63333333333,2378.63333333333,2110.03333333333
1958.33333333333,2379.4,2113.36666666667
1966.93333333333,2375.96666666667,2121.86666666667
1965.03333333333,2375.03333333333,2122.56666666667
1952.3,2381.96666666667,2102.53333333333
1954.9,2380.36666666667,2105.26666666667
1943.56666666667,2384.16666666667,2083.5
1961.26666666667,2373,2120.63333333333
1953.96666666667,2385.63333333333,2094.96666666667
1956,2379.73333333333,2106.5
1939.16666666667,2381.66666666667,2093.2
1951.63333333333,2382.33333333333,2098.76666666667
1956.66666666667,2380.63333333333,2104.5
1959.23333333333,2380.73333333333,2104.7
1960.43333333333,2380,2109.03333333333
1960.16666666667,2380.23333333333,2109.06666666667
1965.4,2378.3,2111.36666666667
1969.06666666667,2377.76666666667,2118.36666666667
1968.23333333333,2376.8,2116.36666666667
1969.76666666667,2378.56666666667,2114.16666666667
1960.3,2378.4,2111.73333333333
1961.36666666667,2378.63333333333,2112.56666666667
1960.96666666667,2378.33333333333,2111.4
1960.73333333333,2378.2,2112.53333333333
1960.93333333333,2378.4,2112.23333333333
1964.86666666667,2377.53333333333,2114.46666666667
1964.16666666667,2377.16666666667,2116.36666666667
1958.63333333333,2379.43333333333,2110.33333333333
1955.5,2379.63333333333,2107
1959.7,2379.76666666667,2108.03333333333
1959.6,2378.06666666667,2111.5
1970.16666666667,2376.9,2116.9
1970.86666666667,2375.63333333333,2113.06666666667
1975.46666666667,2375.9,2125.33333333333
1987.43333333333,2366.86666666667,2147.86666666667
1984.33333333333,2373,2130.73333333333
1979.43333333333,2377.23333333333,2117.33333333333
1947.06666666667,2376.86666666667,2108.93333333333
1950.63333333333,2381.1,2103.63333333333
1948.03333333333,2376.36666666667,2113.33333333333
1954.4,2379.06666666667,2111.76666666667
1967.56666666667,2381.9,2094.76666666667
1965.4,2376.23333333333,2118.63333333333
1976.5,2376.1,2122.6
1975.4,2373.63333333333,2128.86666666667
1973.23333333333,2374.93333333333,2125.4
1973.56666666667,2373.96666666667,2127.06666666667
1973.33333333333,2374.06666666667,2125.3
1970.53333333333,2371,2126.56666666667
1969.93333333333,2374.33333333333,2120.56666666667
1972.46666666667,2374.46666666667,2126.43333333333
1972.2,2373.9,2124.7
1970.73333333333,2376.16666666667,2122.73333333333
1969.3,2378.3,2124.3
1983.66666666667,2372.23333333333,2134.3
1976.6,2373.7,2131.63333333333
1980.8,2372.23333333333,2134
1980.66666666667,2370.96666666667,2132.53333333333
1978.46666666667,2370.9,2134.9
1979.33333333333,2371.43333333333,2136.13333333333
1982.6,2373.23333333333,2131.5
1977.26666666667,2372.46666666667,2131.83333333333
1974.9,2373.03333333333,2130.8
1978.46666666667,2373.8,2131
1978.4,2372.13333333333,2131.8
1977.1,2372.13333333333,2133.1
1978.93333333333,2371.36666666667,2132.96666666667
1978.4,2372.2,2131.8
1979,2371.73333333333,2132.86666666667
1976.86666666667,2372.8,2130.03333333333
1977.1,2372.2,2128.96666666667
1976.53333333333,2373.13333333333,2129.46666666667
1975.56666666667,2371.96666666667,2130.3
1973.53333333333,2373.1,2127.96666666667
1975.5,2373.5,2130.4
1973.63333333333,2373,2129.1
1973.46666666667,2372.93333333333,2128
1976.26666666667,2373.13333333333,2129.06666666667
1980.06666666667,2369.73333333333,2135.93333333333
1978.46666666667,2372.6,2132.4
1975.9,2373.3,2129.83333333333
1974.96666666667,2372.73333333333,2130.06666666667
1972.83333333333,2372.6,2129.46666666667
1973.93333333333,2373.9,2127.46666666667
1973.16666666667,2373.23333333333,2126.73333333333
1972.86666666667,2374.1,2126.3
1973.23333333333,2374.3,2125.43333333333
1973.8,2374,2125.46666666667
1972.93333333333,2374.06666666667,2126.26666666667
1972.53333333333,2374.16666666667,2126.63333333333
1972.26666666667,2373.96666666667,2125.86666666667
1972,2373.8,2125.6
1971.7,2372.96666666667,2125.6
1971.26666666667,2374.36666666667,2124.1
1972.86666666667,2374.1,2126.26666666667
1973.56666666667,2374.1,2126.4
1972.66666666667,2373.06666666667,2126.76666666667
1972.6,2374.03333333333,2125.7
1972.8,2374.76666666667,2127.03333333333
1971.56666666667,2372.73333333333,2128.46666666667
1969.96666666667,2374.2,2124.13333333333
1970.7,2373.93333333333,2125.13333333333
1969.9,2375.23333333333,2123.93333333333
1970,2374.7,2124.86666666667
1970.4,2374.83333333333,2125.5
1970.46666666667,2374.56666666667,2125.03333333333
1970.46666666667,2373.83333333333,2124.56666666667
1970.23333333333,2373.96666666667,2124.03333333333
1970.16666666667,2373.53333333333,2124.76666666667
1971.03333333333,2373.9,2125.43333333333
1970.53333333333,2373.93333333333,2124.9
1971.16666666667,2374.9,2124.56666666667
1970.53333333333,2373.73333333333,2126.73333333333
1970.8,2374,2125.2
1971.5,2373.46666666667,2125.3
1971.3,2373.56666666667,2124.56666666667
1972.36666666667,2373.6,2124.13333333333
1971.1,2374.36666666667,2124.4
1970.76666666667,2374.4,2124.3
1972.76666666667,2374.63333333333,2124.9
1971.03333333333,2373.4,2125.46666666667
1970.33333333333,2373.1,2125.96666666667
1970.63333333333,2374.4,2124.7
1971.76666666667,2373.23333333333,2124.56666666667
1971.06666666667,2375.03333333333,2125
1970.63333333333,2375.3,2124.6
1971.2,2375.43333333333,2124.5
1970.83333333333,2373.7,2126.76666666667
